"Refs","Value","Footprint","Qty","DNP"
"C1","470 uF 25 V INPUT BULK","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C2","100 nF 25 V","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","1000 uF 10 V SERVO/PI BULK","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C4","100 nF 10 V","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","470 nF VINT","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","10 nF 50 V BOOST","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","220 uF 16 V LOW ESR","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C8","220 uF 16 V LOW ESR","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"D1","SS54 5 A 40 V CATCH","Diode_SMD:D_SMC","1",""
"F1","10 A MAIN MINI BLADE","Fuse:Fuseholder_Blade_Mini_Keystone_3568","1",""
"J1","3S BATTERY XT60","Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","1",""
"J3","LEFT GA25-370 - JST PH 2.0 mm","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","1",""
"J4","RIGHT GA25-370 - JST PH 2.0 mm","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","1",""
"J5","LEFT MOTOR LARGE SOLDER PADS","Connector_Wire:SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm","1",""
"J6","RIGHT MOTOR LARGE SOLDER PADS","Connector_Wire:SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm","1",""
"J7","ESP32-PICO-KIT V4.1","PickleballRobot:ESP32_PICO_KIT_V4_1_Carrier","1",""
"J8","MAIN SWING SERVO","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J9","ELBOW SERVO","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J10","WRIST SERVO","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J11","PI UART - 2.54 mm HEADER","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J12","RASPBERRY PI 5 V POWER OUT","Connector_Molex:Molex_Micro-Fit_3.0_43045-0415_2x02_P3.00mm_Vertical","1",""
"L1","22 uH >= 7 A","Inductor_SMD:L_Bourns_SRP1770TA_16.9x16.9mm","1",""
"R1","10 k FAULT PULLUP","Resistor_SMD:R_0805_2012Metric","1",""
"R2","10 k STARTUP PULLDOWN","Resistor_SMD:R_0805_2012Metric","1",""
"R3","10 k STARTUP PULLDOWN","Resistor_SMD:R_0805_2012Metric","1",""
"R4","10 k STARTUP PULLDOWN","Resistor_SMD:R_0805_2012Metric","1",""
"R5","10 k STARTUP PULLDOWN","Resistor_SMD:R_0805_2012Metric","1",""
"R10","220 R PWM SERIES","Resistor_SMD:R_0805_2012Metric","1",""
"R11","220 R PWM SERIES","Resistor_SMD:R_0805_2012Metric","1",""
"R12","220 R PWM SERIES","Resistor_SMD:R_0805_2012Metric","1",""
"R13","10 k PWM PULLDOWN","Resistor_SMD:R_0805_2012Metric","1",""
"R14","10 k PWM PULLDOWN","Resistor_SMD:R_0805_2012Metric","1",""
"R15","10 k PWM PULLDOWN","Resistor_SMD:R_0805_2012Metric","1",""
"R20","1 k SERIES","Resistor_SMD:R_0805_2012Metric","1",""
"R21","1 k SERIES","Resistor_SMD:R_0805_2012Metric","1",""
"R22","1 k SERIES","Resistor_SMD:R_0805_2012Metric","1",""
"R23","1 k SERIES","Resistor_SMD:R_0805_2012Metric","1",""
"R24","10 k PULLUP","Resistor_SMD:R_0805_2012Metric","1",""
"R25","10 k PULLUP","Resistor_SMD:R_0805_2012Metric","1",""
"R26","10 k PULLUP","Resistor_SMD:R_0805_2012Metric","1",""
"R27","10 k PULLUP","Resistor_SMD:R_0805_2012Metric","1",""
"U1","DRV8848PWP","Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3mm_ThermalVias","1",""
"U2","LM2678T-5.0 FIXED 5 A BUCK","Package_TO_SOT_THT:TO-220-7_P2.54x5.08mm_StaggerOdd_Lead3.08mm_Vertical","1",""
